,indice_tiempo,ventas_naftas_ypf,covid_impact,ARMA_Pred,ventas_boxcox
145,2011-02-01,19.245836454441335,0,338769.2192054762,228223866.8439811
146,2011-03-01,19.31536758922465,0,302246.9150793459,244657227.31100252
147,2011-04-01,19.25382466247946,0,324762.9606294398,230054267.77099842
148,2011-05-01,19.228084396411553,0,303327.8804153783,224208172.1297402
149,2011-06-01,19.219232652314314,0,290816.5640387415,222232296.50865602
150,2011-07-01,19.29163723833686,0,285896.84650164924,238919770.25780773
151,2011-08-01,19.28148014323526,0,312760.6672053575,236505321.91851795
152,2011-09-01,19.266136640289794,0,312398.92886590445,232904199.14483705
153,2011-10-01,19.293641652391344,0,306340.4758331737,239399144.70677122
154,2011-11-01,19.28965996960686,0,316384.63355346746,238447828.36769283
155,2011-12-01,19.406876712911842,0,316162.65008690825,268101941.90512446
156,2012-01-01,19.355432170138627,0,368015.6509397397,254658324.37680867
157,2012-02-01,19.278922058367556,0,351159.2640349036,235901094.35568625
158,2012-03-01,19.340692143058867,0,316673.63350671367,250932182.71313608
159,2012-04-01,19.272775461337133,0,337578.546934629,234455552.4271785
160,2012-05-01,19.255072269688082,0,312388.83283129527,230341464.26979297
161,2012-06-01,19.262349465099422,0,302097.6874683671,232023818.2125889
162,2012-07-01,19.35379028170266,0,303461.85798126116,254240546.8573321
163,2012-08-01,19.3453681556526,0,341538.1538232017,252108292.4459968
164,2012-09-01,19.348992898651005,0,343050.80863448256,253023778.47248462
165,2012-10-01,19.372695591669775,0,344858.0564765115,259092765.3491369
166,2012-11-01,19.355604247424264,0,355799.1658582444,254702149.0634208
167,2012-12-01,19.448424253337762,0,349554.20177847135,279475555.7130697
168,2013-01-01,19.438888023216286,0,393525.85136088566,276823079.7389405
169,2013-02-01,19.364514281069468,0,394652.86707967846,256981694.26220885
170,2013-03-01,19.41452690840062,0,358917.6576401898,270160839.75048614
171,2013-04-01,19.31530702624714,0,377646.51459717064,244642410.5885485
172,2013-05-01,19.3550367767109,0,335118.8806603639,254557654.0459242
173,2013-06-01,19.353722011233643,0,346453.19380510185,254223190.32729024
174,2013-07-01,19.407295565912435,0,347426.91444928205,268214260.73621202
175,2013-08-01,19.397876064870744,0,372524.0102631009,265699677.71432427
176,2013-09-01,19.365488063630906,0,371430.2812344156,257232060.45246366
177,2013-10-01,19.427462565630602,0,356162.5238549952,273678248.9530339
178,2013-11-01,19.40552433995136,0,383706.2225755923,267739613.12154928
179,2013-12-01,19.47702817379567,0,376658.2813501362,287585082.01448417
180,2014-01-01,19.50393606025895,0,412510.09888857073,295428440.12337726
181,2014-02-01,19.43720652965657,0,432467.924694792,276357994.61116993
182,2014-03-01,19.443605305927,0,399153.7572292104,278132017.43981016
183,2014-04-01,19.44079347706727,0,397855.37979316124,277351056.23447245
184,2014-05-01,19.419301679990117,0,396227.30099559354,271453880.6682917
185,2014-06-01,19.411495946999704,0,385144.28220686584,269343232.3138372
186,2014-07-01,19.467124528450924,0,379768.43481061794,284750998.21557766
187,2014-08-01,19.43440307354406,0,407575.68677146395,275584322.0366029
188,2014-09-01,19.430380109551372,0,394296.63930980343,274477883.2336897
189,2014-10-01,19.461178688261672,0,390427.96279652766,283062937.6186563
190,2014-11-01,19.431377911979627,0,405865.66237516905,274751894.6318948
191,2014-12-01,19.524389733262925,0,392525.6349524199,301533257.3700979
192,2015-01-01,19.48083879582233,0,441591.6308347839,288683050.7775491
193,2015-02-01,19.415228709482648,0,423537.2314978298,270350505.47858566
194,2015-03-01,19.444445994628,0,386889.40894707764,278365938.2130488
195,2015-04-01,19.40277730637872,0,396601.4052876322,267005132.65058812
196,2015-05-01,19.404498924727427,0,377103.6487214059,267465209.5410748
197,2015-06-01,19.371865794086222,0,375252.0178958239,258877859.9607438
198,2015-07-01,19.42150878195093,0,359602.5616645366,272053668.7530987
199,2015-08-01,19.415898869162948,0,381199.21158385964,270531744.2214395
200,2015-09-01,19.40656368878053,0,381390.77790616907,268018032.65565497
201,2015-10-01,19.43768270937051,0,376844.29019839916,276489622.0272626
202,2015-11-01,19.405714236085135,1,391738.82102620404,267790460.66999444
203,2015-12-01,19.48962326710226,0,377856.40585676424,291230149.99290913
204,2016-01-01,19.50276758838741,0,419623.1410877452,295083441.8781832
205,2016-02-01,19.466596860792112,0,432780.9616780912,284600783.94828767
206,2016-03-01,19.4662138169215,0,414591.3743428724,284491790.2313281
207,2016-04-01,19.39311298521898,0,411881.492290942,264437138.07851073
208,2016-05-01,19.398174179950466,0,374575.4124808961,265778898.60800546
209,2016-06-01,19.3735352823298,0,371855.62762455695,259310414.50476035
210,2016-07-01,19.436880594406496,0,359902.7155056482,276267934.4708806
211,2016-08-01,19.424052812310652,0,388996.14096461295,272746662.7163189
212,2016-09-01,19.40386852011086,0,386516.2768729546,267296651.36267322
213,2016-10-01,19.435646413292183,0,376242.73014270014,275927180.1009365
214,2016-11-01,19.424639038200848,0,390615.9402756947,272906600.7572655
215,2016-12-01,19.506670435618933,0,387032.710768028,296237357.86175513
216,2017-01-01,19.514160862617874,0,430524.4181124525,298464633.5194235
217,2017-02-01,19.440341123101064,0,440834.2401614678,277225623.74803203
218,2017-03-01,19.48871545139682,0,401912.2518120267,290965886.64097327
219,2017-04-01,19.45567151883599,0,422429.5830760872,281508346.58868915
220,2017-05-01,19.456003556153856,0,407356.22166468983,281601833.39084923
221,2017-06-01,19.438859981445706,0,405455.90099406475,276815317.2379768
222,2017-07-01,19.496765125750454,0,396281.06433948013,293317519.6715665
223,2017-08-01,19.483273451560642,0,426164.55177427636,289386750.95582616
224,2017-09-01,19.474798318995028,0,422753.41044378676,286944523.43868136
225,2017-10-01,19.51412444954484,0,417641.5519733615,298453765.7020842
226,2017-11-01,19.500951078521496,0,439039.3416076653,294547906.40983087
227,2017-12-01,19.555680794035027,0,434420.9625782147,311117725.53830594
228,2018-01-01,19.564218392241415,0,466326.9962497303,313785294.9617724
229,2018-02-01,19.494274471121507,0,476069.03339852643,292587876.00824624
230,2018-03-01,19.531276472178625,0,435748.0840731771,303617005.2017562
231,2018-04-01,19.493777515198275,0,451632.6932179312,292442508.8442484
232,2018-05-01,19.48914068546061,0,432104.5617657674,291089641.5659842
233,2018-06-01,19.461690443067628,0,426823.32925160136,283207833.51925933
234,2018-07-01,19.50048194118178,0,411148.9817146908,294409755.3880286
235,2018-08-01,19.49125935123894,0,430314.5620580157,291707017.04346937
236,2018-09-01,19.447727255622027,0,427758.9878803226,279280829.7460674
237,2018-10-01,19.486427726121136,0,403930.615583935,290300997.41630375
238,2018-11-01,19.477967618021697,0,421436.58117900335,287855379.12156105
239,2018-12-01,19.555429278064587,0,419188.5990964628,311039484.29643387
240,2019-01-01,19.535121772701526,0,464073.31866444723,304786751.4783642
241,2019-02-01,19.48314773483821,0,457836.8017644801,289350372.48634624
242,2019-03-01,19.515550196547657,0,427044.8223459319,298879588.7776013
243,2019-04-01,19.461433030390488,0,441162.6799413952,283134941.60993797
244,2019-05-01,19.477915035323075,0,412986.29197912046,287840243.3058712
245,2019-06-01,19.434049028546795,0,417996.38346651033,275486770.04959524
246,2019-07-01,19.49087042545547,0,395551.2909748074,291593586.7153444
247,2019-08-01,19.482850203326247,0,422755.34358294675,289264294.43302006
248,2019-09-01,19.448474588137017,0,422050.6400588146,279489623.41402775
249,2019-10-01,19.492352147196364,0,403533.6337451841,292025967.5554187
250,2019-11-01,19.47660827982275,0,424683.04350893945,287464352.1126182
251,2019-12-01,19.52763007073125,0,418893.16985349706,302511911.674404
252,2020-01-01,19.52480628448248,0,447140.61460341496,301658887.58826387
253,2020-02-01,19.48905414421717,0,449357.2790663411,291064451.39481854
254,2020-03-01,19.249087692558454,0,429150.5475300108,228967084.56247205
255,2020-04-01,18.627265871391923,0,315911.10350140533,122947372.0549641
256,2020-05-01,18.959695909828387,0,151304.41557695498,171431960.41506475
257,2020-06-01,19.096809005630803,0,190449.68639276514,196625235.8037972
258,2020-07-01,19.14896897533013,0,232206.63229668414,207153390.09779
259,2020-08-01,19.161567274314393,0,253996.41381135245,209779679.26846117
260,2020-09-01,19.15906156712743,0,261074.71162708424,209254690.7918793
261,2020-10-01,19.241504372004712,0,261231.60716438945,227237320.61618933
262,2020-11-01,19.29678905154381,0,289955.36702281184,240153816.42527026
263,2020-12-01,19.47129343294405,0,315404.6439172504,285940575.90412796
264,2021-01-01,19.444284162593377,0,400960.53888498765,278320893.328904
265,2021-02-01,19.400880529294,0,398455.0571080785,266499163.40744674
266,2021-03-01,19.448534659690072,0,376443.95527254033,279506413.2951577
267,2021-04-01,19.338551671325668,0,397285.6280691016,250395643.86177373
268,2021-05-01,19.247686094697137,0,347744.82749271166,228646389.5604375
269,2021-06-01,19.28237308392643,0,304176.0795515529,236716601.4741008
270,2021-07-01,19.429238233977635,0,311571.26748597715,274164642.4978083
271,2021-08-01,19.433278725612983,0,378461.35560073634,275274643.47987187
272,2021-09-01,19.43883358800842,0,389716.4658840539,276808011.22619987
273,2021-10-01,19.496592703555656,0,394100.4732904891,293266949.57758343
274,2021-11-01,19.49547451293154,0,425767.07918913686,292939204.47773486
275,2021-12-01,19.57339399546087,0,429497.0985464946,316677714.0642179
276,2022-01-01,19.517194339227597,0,476832.62040318653,299371393.6856336
277,2022-02-01,19.496268716493724,0,448975.6776614926,293171950.26414
278,2022-03-01,19.51492793840143,0,433139.85016400344,298693666.35850406
279,2022-04-01,19.492652583853406,0,441639.9596311152,292113716.0473734
280,2022-05-01,19.482290017387953,0,430097.92829794326,289102298.0105544
281,2022-06-01,19.48557465414164,0,422752.9590068401,290053455.3542521
282,2022-07-01,19.523878312318605,0,423555.4331504518,301379086.36333513
283,2022-08-01,19.51889614661086,0,445562.0548684468,299881299.9249887
284,2022-09-01,19.500288222552427,0,445664.6288802499,294352728.25381756
285,2022-10-01,19.537058371959805,0,434956.8755361241,305377573.2214721
286,2022-11-01,19.5140443330358,0,454993.9917673565,298429855.58451974
287,2022-12-01,19.57429332697525,0,444135.6529045168,316962640.4333094
288,2023-01-01,19.57819146857498,0,479424.7904099667,318200617.104464
289,2023-02-01,19.523928470848723,0,486793.1885218895,301394203.4754224
290,2023-03-01,19.56198844682592,0,454298.45088337566,313086350.4301222
291,2023-04-01,19.52327034522301,0,473008.40201450454,301195913.4707889
292,2023-05-01,19.5210785801666,0,452012.3936588861,300536485.66896516
293,2023-06-01,19.507588470933708,0,447832.0878532591,296509439.10654277
294,2023-07-01,19.55521710690916,0,439422.28687001835,310973497.6858537
295,2023-08-01,19.55978257292387,0,466727.2558386983,312396482.5363184
296,2023-09-01,19.51990973353212,0,473335.4400989874,300185409.80318666
297,2023-10-01,19.577145877206455,0,450082.1609797547,317868083.1417865
298,2023-11-01,19.597864876737628,0,482078.4221664346,324522692.61028063
299,2023-12-01,19.630147691480765,0,500077.2269575198,335170139.34394664
300,2024-01-01,19.59183662470947,0,524699.2542760969,322572272.62195486
301,2024-02-01,19.54128200908119,0,501941.62389959075,306670105.0310451
302,2024-03-01,19.55088523095121,0,466772.8618035122,309629312.50401247
